Price,SquareFeet,AgeYears,NumberFeatures,Northeast,CustomBuild,CornerLot
205000,2650,13,7,Yes,Yes,No
208000,2600,*,4,Yes,Yes,No
215000,2664,6,5,Yes,Yes,No
215000,2921,3,6,Yes,Yes,No
199900,2580,4,4,Yes,Yes,No
190000,2580,4,4,Yes,No,No
180000,2774,2,4,Yes,No,No
156000,1920,1,5,Yes,Yes,No
145000,2150,*,4,Yes,No,No
144900,1710,1,3,Yes,Yes,No
137500,1837,4,5,Yes,No,No
127000,1880,8,6,Yes,No,No
125000,2150,15,3,Yes,No,No
123500,1894,14,5,Yes,Yes,No
117000,1928,18,8,Yes,Yes,No
118000,1830,*,3,Yes,No,No
115500,1767,16,4,Yes,No,No
111000,1630,15,3,Yes,No,Yes
113900,1680,17,4,Yes,No,Yes
99500,1725,*,3,Yes,No,No
99500,1500,15,4,Yes,No,No
97500,1430,*,3,Yes,No,No
97500,1360,*,4,Yes,No,No
90000,1400,16,2,Yes,No,Yes
96000,1573,17,6,Yes,No,No
86000,1385,*,2,Yes,No,No
169500,2931,28,3,Yes,No,Yes
155300,2200,28,4,Yes,No,No
125000,2277,*,4,Yes,Yes,No
130000,2000,*,3,Yes,Yes,No
102000,1478,53,3,Yes,No,Yes
102000,1713,30,4,Yes,No,Yes
92200,1326,*,4,Yes,No,No
92500,1050,*,2,Yes,No,Yes
89900,1464,*,2,Yes,Yes,No
85000,1190,41,1,Yes,No,No
87600,1156,*,1,Yes,No,No
89000,1746,*,2,Yes,No,No
87000,1280,*,1,Yes,No,No
70000,1215,*,3,Yes,No,No
72000,1121,46,4,Yes,No,No
72000,1050,*,1,Yes,No,No
74900,1733,43,6,Yes,No,No
73100,1299,*,6,Yes,No,No
72500,1140,*,3,Yes,No,Yes
67000,1181,*,4,Yes,No,No
215000,2848,4,6,Yes,Yes,No
159900,2440,*,5,Yes,Yes,No
135000,2253,23,4,Yes,Yes,No
129900,2743,25,5,Yes,Yes,Yes
125000,2180,17,4,Yes,No,Yes
123900,1706,14,4,Yes,No,No
120000,1948,*,4,Yes,No,No
112500,1710,16,4,Yes,Yes,No
110000,1657,*,4,Yes,No,No
108000,2200,26,4,Yes,No,No
105000,1680,13,4,Yes,No,No
104900,1900,34,3,Yes,No,No
95500,1565,*,3,Yes,Yes,No
93400,1543,20,3,Yes,No,No
87500,1173,6,4,Yes,No,No
88900,1549,*,4,Yes,No,No
85500,1900,*,3,Yes,No,No
83500,1560,*,5,Yes,No,Yes
81000,1365,*,2,Yes,No,No
80500,1258,7,4,Yes,No,Yes
79900,1314,*,2,Yes,No,No
75000,1338,*,3,Yes,No,Yes
75900,997,4,4,Yes,No,No
75500,1275,*,5,Yes,No,No
75000,1030,*,1,Yes,No,No
73000,1027,*,3,Yes,No,No
72900,1007,19,6,Yes,No,No
71000,1083,22,4,Yes,No,No
77300,1320,*,5,Yes,No,No
69000,1348,15,2,Yes,Yes,No
67000,1350,*,2,Yes,No,No
61900,837,*,2,Yes,No,No
129500,3750,*,4,No,Yes,Yes
97500,1500,7,3,No,Yes,Yes
93900,1428,40,2,No,No,No
82000,1375,*,1,No,No,No
78000,1080,*,3,No,Yes,No
77000,900,*,3,No,No,No
70000,1505,*,2,No,No,Yes
62000,1480,*,4,No,No,No
54000,1142,*,0,No,No,No
107000,1464,*,2,No,No,No
210000,2116,25,3,No,Yes,No
72500,1280,*,3,No,No,No
66000,1159,*,0,No,No,No
60000,1198,*,4,No,No,No
58000,1051,15,2,No,No,No
184400,2250,40,6,No,Yes,No
158000,2563,*,2,No,Yes,No
69900,1400,45,1,No,Yes,Yes
133000,1850,5,5,No,Yes,Yes
116000,1720,5,4,No,No,No
110900,1740,4,3,No,No,No
112900,1700,6,4,No,No,No
105000,1620,6,4,No,No,No
104500,1630,6,4,No,No,No
105000,1920,8,4,No,No,No
102000,1606,5,4,No,No,No
100000,1535,7,5,No,No,Yes
103000,1540,6,2,No,No,Yes
97500,1739,13,3,No,No,No
95000,1715,*,3,No,No,No
94000,1305,5,3,No,No,No
92000,1415,7,4,No,No,No
94500,1580,9,3,No,No,No
87400,1236,3,4,No,No,No
87200,1229,6,3,No,No,No
87000,1273,4,4,No,No,No
86900,1165,7,4,No,No,No
76600,1200,7,4,No,No,Yes
73900,970,4,4,No,No,Yes
